City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Valle De Allende,MX,26.9333,-105.4,55.11,43,42,8.75,scattered clouds
81,Puerto Ayora,EC,-0.7393,-90.3518,78.01,93,75,3.0,broken clouds
82,Vila,PT,42.0304,-8.1588,39.99,84,58,8.01,broken clouds
83,Teknaf,BD,20.8624,92.3058,81.72,58,4,6.35,clear sky
84,Chichester,GB,50.8367,-0.78,32.0,100,0,3.22,clear sky
85,Cherskiy,RU,68.75,161.3,-16.53,88,100,7.74,overcast clouds
86,Babynino,RU,54.39,35.73,24.8,68,75,15.66,light snow
87,Santa Cruz Cabralia,BR,-16.2781,-39.0247,75.2,88,20,3.44,few clouds
88,Kieta,PG,-6.2167,155.6333,82.63,72,100,1.34,light rain
89,Apastovo,RU,55.2029,48.5109,23.0,93,90,20.13,snow
90,Barrow,US,71.2906,-156.7887,-9.4,70,90,21.85,snow
91,Saskylakh,RU,71.9167,114.0833,-27.08,83,19,2.68,few clouds
92,Lorengau,PG,-2.0226,147.2712,82.13,74,100,5.1,heavy intensity rain
93,Flagstaff,US,35.1981,-111.6513,50.0,60,1,7.31,clear sky
94,Carutapera,BR,-1.195,-46.02,76.66,93,100,7.67,overcast clouds
95,Provideniya,RU,64.3833,-173.3,26.08,97,100,8.19,snow
96,Rabo De Peixe,PT,37.8,-25.5833,60.8,88,75,3.44,broken clouds
97,Dharchula,IN,29.85,80.5333,60.8,49,100,4.09,overcast clouds
98,Mezhdurechenskiy,RU,59.6,65.9333,1.96,93,95,3.22,overcast clouds
99,Porto Novo,BJ,6.4965,2.6036,81.01,82,100,8.08,overcast clouds
100,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.59,91,100,5.08,overcast clouds
101,Lebu,CL,-37.6167,-73.65,58.12,83,59,17.98,broken clouds
102,Coquimbo,CL,-29.9533,-71.3436,62.6,88,90,4.61,overcast clouds
103,Nara,JP,34.6851,135.8049,53.6,58,75,9.22,broken clouds
104,Patitirion,GR,39.15,23.8667,42.01,90,43,3.0,scattered clouds
105,Praia,CV,14.9215,-23.5087,66.2,72,75,21.85,broken clouds
106,Terrace,CA,54.5163,-128.6035,28.4,93,20,3.44,few clouds
107,Ambilobe,MG,-13.2,49.05,74.82,96,97,2.24,heavy intensity rain
108,New Norfolk,AU,-42.7826,147.0587,75.0,46,100,1.99,overcast clouds
109,Okhotsk,RU,59.3833,143.3,-2.78,83,0,7.61,clear sky
110,Bucerias,MX,20.75,-105.3333,73.0,88,20,4.16,few clouds
111,Vardo,NO,70.3705,31.1107,10.4,92,40,4.61,snow
112,Kasane,BW,-17.8167,25.15,59.0,94,0,2.3,clear sky
113,Key West,US,24.5557,-81.7826,69.8,60,1,16.11,clear sky
114,Thompson,CA,55.7435,-97.8558,24.8,80,1,5.55,clear sky
115,Itaituba,BR,-4.2761,-55.9836,73.58,98,72,2.42,light rain
116,Alice Springs,AU,-23.7,133.8833,95.0,20,0,9.22,clear sky
117,Kruisfontein,ZA,-34.0033,24.7314,66.0,79,51,5.01,broken clouds
118,Gharo,PK,24.7424,67.5856,80.6,65,0,5.75,haze
119,Najran,SA,17.4924,44.1277,57.2,41,0,1.66,clear sky
120,Laibin,CN,23.7,109.2667,68.13,68,88,4.0,overcast clouds
